time	wallclock_time	start_span	g_sum	f_sum	frac_compute	arg_size_mbs	res_size_mbs	num_workers
14-10-2023 20:43:07	340.966105	0.070300	18049.824065	15315.576827	0.988439	5.728912	5.728912	99
14-10-2023 20:53:58	651.196402	0.059878	13091.250790	2535.023569	0.242386	5.728912	5.728912	99
14-10-2023 20:59:58	359.485292	0.065565	51574.136576	15144.306591	1.874691	5.728912	5.728912	99
14-10-2023 21:05:41	343.669332	0.071810	17211.649693	15155.650931	0.951329	5.728912	5.728912	99
14-10-2023 21:16:34	653.181237	0.096611	12616.725291	2544.578492	0.234459	5.728912	5.728912	99
14-10-2023 21:22:34	359.466298	0.016637	50627.677102	15140.065187	1.848075	5.728912	5.728912	99
14-10-2023 21:28:26	351.928043	0.031814	17470.573448	15363.169798	0.942391	5.728912	5.728912	99
14-10-2023 21:39:19	652.636976	0.083440	13427.732995	2540.087429	0.247138	5.728912	5.728912	99
14-10-2023 21:50:12	653.443838	0.058710	48958.045466	2540.664777	0.796073	5.728912	5.728912	99
14-10-2023 21:56:13	360.553317	0.052133	49929.228304	15137.398385	1.822861	5.728912	5.728912	99
14-10-2023 22:01:56	343.680895	0.079152	17453.007365	15127.490577	0.957563	5.728912	5.728912	99
14-10-2023 22:12:47	650.946097	0.079458	13416.014091	2540.948403	0.247611	5.728912	5.728912	99
14-10-2023 22:18:48	360.143059	0.053945	50635.614573	15148.494586	1.845061	5.728912	5.728912	99
14-10-2023 22:24:29	340.907676	0.070702	16638.503039	15122.510761	0.941071	5.728912	5.728912	99
14-10-2023 22:35:22	652.929644	0.076829	12794.306886	2536.794731	0.237177	5.728912	5.728912	99
14-10-2023 22:41:21	359.499924	0.055573	48940.288293	15142.531859	1.800560	5.728912	5.728912	99
14-10-2023 22:47:04	342.442699	0.082423	17541.516861	15172.157236	0.964953	5.728912	5.728912	99
14-10-2023 22:57:56	652.522794	0.077033	13468.070031	2540.559933	0.247813	5.728912	5.728912	99
14-10-2023 23:03:57	360.594552	0.053534	51655.988434	15154.292674	1.871496	5.728912	5.728912	99
14-10-2023 23:09:37	340.418520	0.071954	17382.594435	15182.217371	0.966274	5.728912	5.728912	99
14-10-2023 23:20:30	652.449728	0.052441	12665.609616	2539.558497	0.235401	5.728912	5.728912	99
14-10-2023 23:26:30	360.297899	0.055331	50610.084798	15143.631041	1.843416	5.728912	5.728912	99
14-10-2023 23:32:17	346.876892	0.078622	17579.189338	15261.471566	0.956316	5.728912	5.728912	99
14-10-2023 23:43:10	653.291571	0.052999	13566.245052	2536.446202	0.248975	5.728912	5.728912	99
14-10-2023 23:49:10	359.469109	0.049418	49417.778114	15157.318133	1.814547	5.728912	5.728912	99
14-10-2023 23:55:13	362.934651	0.077006	17532.332582	15567.860648	0.921228	5.728912	5.728912	99
15-10-2023 00:06:07	653.681432	0.085303	13332.609667	2541.227221	0.245290	5.728912	5.728912	99
15-10-2023 00:16:59	651.939043	0.060854	49972.972292	2535.129150	0.813550	5.728912	5.728912	99
15-10-2023 00:22:58	359.142049	0.057294	48261.754283	15149.075127	1.783454	5.728912	5.728912	99
15-10-2023 00:28:37	339.402316	0.071516	16846.602539	15132.485288	0.951735	5.728912	5.728912	99
15-10-2023 00:39:31	653.349706	0.076488	13160.640993	2540.169628	0.242740	5.728912	5.728912	99
15-10-2023 00:45:31	359.890081	0.055764	50136.072965	15153.640584	1.832482	5.728912	5.728912	99
15-10-2023 00:51:10	339.556433	0.064276	18395.852875	15073.627802	0.995639	5.728912	5.728912	99
15-10-2023 01:02:03	653.171888	0.079180	12957.413967	2540.328132	0.239666	5.728912	5.728912	99
15-10-2023 01:08:05	361.890928	0.012883	49805.354416	15160.618081	1.813314	5.728912	5.728912	99
15-10-2023 01:13:48	342.212387	0.076652	17335.258418	15068.349380	0.956450	5.728912	5.728912	99
15-10-2023 01:24:41	653.216664	0.078435	12965.278399	2539.315029	0.239755	5.728912	5.728912	99
15-10-2023 01:30:41	359.934685	0.057986	50607.208068	15161.604888	1.845700	5.728912	5.728912	99
15-10-2023 01:36:21	339.671096	0.076518	16951.166705	15061.473978	0.951980	5.728912	5.728912	99
15-10-2023 01:47:14	653.068463	0.075244	13571.388465	2543.091192	0.249243	5.728912	5.728912	99
